00061137-91ba-470f-aa2f-181b487df07d	HICF	SRX18372641
00077730-0fe4-454a-b554-b23c9f51a808	OXFORD	SRX6984725
003985c1-b666-4d7f-b9d5-62f5d285f3e9	APHA	SAMEA4645201
00734a71-979c-4518-bec7-9cb9e2ad164a	OXFORD	SRX6984726
007d12b9-f903-446a-9d66-184fb751cae9	OXFORD	SRX6984727
0085ca83-92ee-4cd3-808e-97479907aa6e	HICF	SRX18372642
00b40e1a-202f-4126-9add-6282d4a7cc53	APHA	SAMEA4645265
00f30e5f-45b7-4dcd-85d4-622b54803b97	OXFORD	SRX6984728
013cc60d-cf3b-4c62-885b-736339cac567	OXFORD	SRX6984973
01475fd2-0ded-416b-9161-99bfde244595	OXFORD	SRX6984974
01485841-e17b-45e8-8a54-c1ff38ddddb0	APHA	SAMEA4645122
014b212d-9b92-4a4d-8d24-572b61f5b509	APHA	SAMEA4645182
0152fff8-5a8e-4031-8634-81b08a4b5c85	OXFORD	SRX6984975
0153cbe8-aa8e-4969-a783-a5b92c4c417e	HICF	SRX18372643
01822ce6-6d77-435b-944a-3b45418c034d	OXFORD	SRX6984976
019966d5-53a6-44fc-86c1-5dc411e2fb2e	APHA	SAMEA4645085
01d34baf-18a8-4195-9931-68b6c4053b22	OXFORD	SRX6984977
0210aefa-83ca-448c-85e3-c671898e4de9	APHA	SAMEA4645277
02214389-bec0-4cf5-9d17-080943ebbe22	APHA	SAMEA4645032
02242c9d-3877-4b48-95f0-77126fd60420	HICF	SRX18372644
024d720b-7bf8-4524-bdd6-e9033cb3e91e	OXFORD	SRX6984978
025e1932-35ca-4f87-9511-88f10fdc2ba7	OXFORD	SRX6984979
025eb405-5115-408a-bb82-109a8677e3f0	HICF	SRX18372670
0262b07d-945e-41e5-81ed-6efc8ffca6b9	OXFORD	SRX6984980
02bd8907-b922-442a-ba82-dfe722f0ede5	OXFORD	SRX6984981
02c5f878-2e1c-4c6b-9083-da0c252f82f0	OXFORD	SRX6984982
02fd3c35-530d-4254-84c6-4153a5b11918	HICF	SRX18372671
02fde464-3943-4a47-990e-0e5f7efa32ad	HICF	SRX18372672
0376f914-d57d-42ee-bfe5-e92a95f03873	OXFORD	SRX6984983
03b2c44b-bb25-4461-bf43-66577b7f3db5	OXFORD	SRX6984984
